student_id,time_organization
2715,*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
1979,***
1889,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
4625,*En semaine ou la fin de semaine a egalite*Surtout le jour : entre 8h00 et 18h00.*Jamais
2081,***
2800,***
800,*Surtout durant la semaine - peu la fin de semaine**Jamais
3525,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
1241,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
290,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
5368,***
1841,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
1544,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Toujours
1635,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
3180,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
1618,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Toujours
2425,***
3966,*En semaine ou la fin de semaine a egalite**Tres souvent
1898,*Surtout durant la semaine - peu la fin de semaine**Parfois
2947,*En semaine ou la fin de semaine a egalite**Regulierement
1591,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
5727,***
2165,*Surtout durant la semaine - peu la fin de semaine**Regulierement
2919,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine**Parfois
3440,*En semaine ou la fin de semaine a egalite**Regulierement
3768,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
4920,*En semaine ou la fin de semaine a egalite**Regulierement
1531,***
1806,*En semaine ou la fin de semaine a egalite**Parfois
4321,***
4393,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
1146,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
3708,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
4087,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
5869,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
512,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
1561,***
4210,***
1107,*En semaine ou la fin de semaine a egalite**Jamais
5067,***
2895,***
4397,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
1995,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
3634,*Surtout durant la semaine - peu la fin de semaine**Regulierement
4650,***
2598,*Surtout durant la fin de semaine - peu en semaine**Tres souvent
1882,Plage de temps strictement reservee*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
2276,***
2898,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
1309,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
5627,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine**Parfois
488,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
536,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Jamais
5454,***
604,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
4554,***
2564,***
546,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Toujours
2144,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
503,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
4445,***
4197,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
4660,***
966,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine**Jamais
4259,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
1713,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Regulierement
3903,***
437,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
3273,*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
5842,***
434,*En semaine ou la fin de semaine a egalite*Surtout le jour : entre 8h00 et 18h00.*Jamais
6159,***
3638,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Toujours
5887,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
5250,***
1592,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
4264,***
4048,*En semaine ou la fin de semaine a egalite**Parfois
1771,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
312,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine**Jamais
5483,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
4054,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
739,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
4774,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Regulierement
2571,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Toujours
1900,*En semaine ou la fin de semaine a egalite**Jamais
463,*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
4302,***
2051,*En semaine ou la fin de semaine a egalite**Parfois
4427,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
1461,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Regulierement
1116,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
1867,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
6099,***
1782,*Surtout durant la fin de semaine - peu en semaine**Jamais
1654,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Jamais
4387,***
4665,***
5092,*En semaine ou la fin de semaine a egalite**Tres souvent
4075,***
2488,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
702,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
2498,*En semaine ou la fin de semaine a egalite**Toujours
2879,***
5870,***
726,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
3698,***
3263,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Regulierement
2091,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
996,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Regulierement
4666,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
274,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine**Jamais
2338,*En semaine ou la fin de semaine a egalite**Jamais
4685,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
1653,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
4290,Plage de temps reservee avec quelques exceptions*En semaine ou la fin de semaine a egalite**Parfois
5088,Plage de temps strictement reservee*Surtout durant la fin de semaine - peu en semaine**Jamais
4074,Plage de temps strictement reservee*En semaine ou la fin de semaine a egalite*Surtout le jour : entre 8h00 et 18h00.*Jamais
5091,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
4720,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Toujours
6115,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
5547,***
4133,*En semaine ou la fin de semaine a egalite**Parfois
964,*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
3270,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
5914,***
3998,***
5571,Plage de temps strictement reservee*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
518,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
4111,***
4162,Plage de temps reservee avec quelques exceptions*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Parfois
4173,***
4807,*Surtout durant la fin de semaine - peu en semaine**Jamais
3703,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Regulierement
3471,***
4846,***
5682,*En semaine ou la fin de semaine a egalite**Toujours
4565,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
333,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
2245,*Surtout durant la semaine - peu la fin de semaine**Parfois
1260,***
3363,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Jamais
4657,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine**Parfois
4836,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
5782,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*option_i4x-TELUQ-TUL1-problem-7263404c883d4411a0879cf73ff5f652_2_4_dummy_default
2803,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
1719,***
5168,*Surtout durant la semaine - peu la fin de semaine**option_i4x-TELUQ-TUL1-problem-7263404c883d4411a0879cf73ff5f652_2_4_dummy_default
4781,*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
3158,Plage de temps strictement reservee*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
1811,*En semaine ou la fin de semaine a egalite*Surtout le jour : entre 8h00 et 18h00.*Jamais
4339,*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
1049,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
1277,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
962,***
3841,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Parfois
5056,*En semaine ou la fin de semaine a egalite**Jamais
3587,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
2446,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
6143,***
2413,*En semaine ou la fin de semaine a egalite*Surtout le jour : entre 8h00 et 18h00.*Jamais
1642,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
5809,***
1151,*Surtout durant la fin de semaine - peu en semaine**Jamais
